Hotel_Name,Property_type,Room_type,Bed_type,Min_nights,Max_nights,No_of_reviews,Accomodates,Bedrooms,Beds,Bathrooms,Price,Security_deposit,Cleaning_fee,Guests,Host_name,Host_location,Host_response,Host_total_listings,Street,Suburb,Gov_area,Market,Country,Coun_code,Longitude,Latitude,Availability_30,Availability_60,Availability_90,Availability_365,Accuracy_score,Clean_score,Checkin_score,Communication_score,Location_score,Value_score,Rating
★★ SIGNATURE STUDIO ★★ Tsim Sha Tsui,Entire home/apt,Entire home/apt,Real Bed,1,365,84,2,0,1,1,550,800,100,1,Dani,Hong Kong,100,1,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,114.17507,22.29897,0,14,36,124,9,9,9,9,10,9,90
Comfortable Apartment Sant Antoni area for months,Entire home/apt,Entire home/apt,Real Bed,32,364,2,2,1,1,1,45,500,0,1,Jan,"Barcelona, Cataluña, Spain",100,6,"Barcelona, Catalunya, Spain",Sant Antoni,Sant Antoni,Barcelona,Spain,ES,2.16311,41.37766,0,0,0,219,10,10,10,10,9,10,100
habitación privada plaza España 2,Private room,Private room,Real Bed,1,1125,1,2,1,1,1,110,0,5,1,Eucaris,"Barcelona, Catalonia, Spain",44,1,"Barcelona, Catalunya, Spain",Eixample,la Nova Esquerra de l'Eixample,Barcelona,Spain,ES,2.14838,41.38453,30,60,90,90,10,10,10,10,10,10,100
Room available in Sheung Wan (SW9c),Private room,Private room,Real Bed,31,1125,0,1,1,1,1,188,1000,0,1,Morgan,Hong Kong,64,77,"Hong Kong, Hong Kong Island, Hong Kong",Sheung Wan,Central & Western,Hong Kong,Hong Kong,HK,114.14681,22.28614,29,59,89,364,0,0,0,0,0,0,0
Large windows 1 bedroom apartment Ikebana 1,Entire home/apt,Entire home/apt,Real Bed,3,1125,3,4,1,2,1,60,400,20,1,Ana,Portugal,100,8,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,-8.61599,41.14908,30,60,81,243,10,10,10,10,10,9,100
2379 - AB Vila Olimpica - Icaria Apartment - Bright and modern apartment with amazing pool in Vila Olímpica,Entire home/apt,Entire home/apt,Real Bed,32,330,0,3,1,1,1,80,0,110,3,Robbie & Kay,"Barcelona, Catalonia, Spain",70,113,"BARCELONA, city, Spain",La Vila Olímpica,la Vila Olímpica del Poblenou,Barcelona,Spain,ES,2.19552,41.39343,0,0,0,65,0,0,0,0,0,0,0
2378 - AB Casa Farreras A - Amazing 1-bedroom Apartment with a Private Terrace,Entire home/apt,Entire home/apt,Real Bed,32,330,0,2,1,1,1,100,0,110,2,Robbie & Kay,"Barcelona, Catalonia, Spain",70,113,"BARCELONA, city, Spain",Sant Antoni,Sant Antoni,Barcelona,Spain,ES,2.1586,41.38186,0,0,0,0,0,0,0,0,0,0,0
Brand new appartmen in Porto´s heart.,Entire home/apt,Entire home/apt,Real Bed,2,1125,13,3,1,2,1,55,0,20,2,Dónigo - Imobiliária S.A.,"Lisbon, Lisbon, Portugal",0,2,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,-8.60605,41.14458,0,16,46,136,10,9,9,10,10,9,88
Great 1 bed apartment in the heart of Central HK!,Entire home/apt,Entire home/apt,Real Bed,5,14,9,2,1,1,1,699,0,120,1,Mats,"Hong Kong, Hong Kong",100,1,"Hong Kong, Hong Kong Island, Hong Kong",Soho,Central & Western,Hong Kong,Hong Kong,HK,114.1515,22.28203,7,7,7,7,10,10,10,10,10,10,98
"""PalaisDesCongres Condo""OLDMtl/Dt Free Parking",Entire home/apt,Entire home/apt,Real Bed,1,31,51,6,1,4,1,199,0,79,2,Julia Et Philly,CA,100,4,"Montréal, Québec, Canada",Downtown Montreal,Ville-Marie,Montreal,Canada,CA,-73.56225,45.50526,16,36,56,135,8,9,9,9,10,9,88
Bombarda 205 Apartment - Art Galleries District,Entire home/apt,Entire home/apt,Real Bed,3,20,11,4,1,1,1,78,0,25,1,Ana,"Porto, Porto District, Portugal",100,5,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,-8.6189,41.14921,9,12,38,128,9,8,9,10,10,9,85
"Cozy, brand new, 5 min to MTR and then ICC&Central",Entire home/apt,Entire home/apt,Real Bed,1,1125,17,1,0,1,1,801,0,300,1,Ashley,"Hong Kong Island, Hong Kong",90,1,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,114.16151,22.32178,4,4,4,40,10,9,10,10,10,9,96
