Hotel_Name,Property_type,Room_type,Bed_type,Min_nights,Max_nights,No_of_reviews,Accomodates,Bedrooms,Beds,Bathrooms,Price,Security_deposit,Cleaning_fee,Guests,Host_name,Host_location,Host_response,Host_total_listings,Street,Suburb,Gov_area,Market,Country,Coun_code,Longitude,Latitude,Availability_30,Availability_60,Availability_90,Availability_365,Accuracy_score,Clean_score,Checkin_score,Communication_score,Location_score,Value_score,Rating
Cozy room in Sagrada Familia,Private room,Private room,Real Bed,5,90,99,2,1,2,1,15,100,10,1,Jeremy,"Barcelona, Catalonia, Spain",100,3,"Barcelona, Catalunya, Spain",Eixample,la Sagrada Família,Barcelona,Spain,ES,2.181,41.40318,0,0,6,91,10,9,10,10,10,10,94
Brand new flat! 2 BR + study (720 sqft),Entire home/apt,Entire home/apt,Real Bed,12,1125,2,4,2,2,2,699,0,300,3,Daniel,"Hong Kong, Hong Kong",0,1,"Hong Kong, New Territories, Hong Kong",,Sai Kung,Hong Kong,Hong Kong,HK,114.27492,22.29569,0,0,0,0,10,10,10,10,8,10,100
"New 1BD Condo in Napili Ridge, Walk to Beach",Entire home/apt,Entire home/apt,Real Bed,2,1125,38,3,1,2,1,99,300,125,2,Linda-Lee,"Hawaii, United States",100,2,"Lahaina, HI, United States",Westside,Lahaina,Maui,United States,US,-156.66917,20.98857,7,16,35,286,10,9,10,10,9,10,95
Self contained garden/artist studio,Entire home/apt,Entire home/apt,Real Bed,2,1125,33,2,1,1,1,80,0,0,1,Greg & Maggie,"Chatswood, New South Wales, Australia",100,1,"North Willoughby, NSW, Australia",Willoughby,Willoughby,Sydney,Australia,AU,151.20011,-33.79154,6,13,13,246,10,10,10,10,10,10,99
Heart of the City-Cozy Room Private Sunny Balcony!,Private room,Private room,Real Bed,1,1125,47,2,1,1,2,14,100,25,1,Vahb,"Barcelona, Catalonia, Spain",100,1,"Barcelona, Catalonia, Spain",Gràcia,la Vila de Gràcia,Barcelona,Spain,ES,2.15881,41.39925,19,49,79,79,9,8,10,10,10,9,91
★ Amazing with terrace & wifi ★,Entire home/apt,Entire home/apt,Real Bed,2,1125,80,8,4,7,1,100,150,55,6,Rafael,"Porto, Porto District, Portugal",100,1,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,-8.60288,41.14728,28,52,70,106,10,9,10,10,10,9,94
Cute Tiny Room Family Home by LGA NO CLEANING FEE,Private room,Private room,Real Bed,1,3,379,1,1,1,2,48,300,0,1,Danielle,US,100,5,"Queens, NY, United States",Queens,East Elmhurst,New York,United States,US,-73.87238,40.7638,19,19,19,236,10,10,10,10,10,10,99
Flat Duplex Ipanema All Service Luxo Com Serviços,Entire home/apt,Entire home/apt,Real Bed,4,1124,2,8,2,4,2,601,2000,400,4,Veronica,"Rio de Janeiro, State of Rio de Janeiro, Brazil",100,3,"Rio de Janeiro, Rio de Janeiro, Brazil",Ipanema,Lagoa,Rio De Janeiro,Brazil,BR,-43.20396556253349,-22.97874838432402,0,0,0,0,10,10,10,9,10,8,90
Nice big room near Downtown,Private room,Private room,Real Bed,1,1125,3,1,1,1,2,224,0,37,1,Beatriz,"Rio de Janeiro, Rio de Janeiro, Brazil",67,2,"Rio de Janeiro, Rio de Janeiro, Brazil",Flamengo,Flamengo,Rio De Janeiro,Brazil,BR,-43.17475739253271,-22.932397564673835,17,39,69,344,9,9,10,10,10,9,93
Warehouse style studio,Entire home/apt,Entire home/apt,Real Bed,2,1126,9,2,1,1,1,151,0,50,2,Ian,"Avalon Beach, New South Wales, Australia",88,1,"Avalon Beach, NSW, Australia",Avalon,Pittwater,Sydney,Australia,AU,151.32068,-33.6212,27,54,84,359,10,10,10,10,10,10,100
Cozy w/ Yard & Walking Distance to Waikiki - BROC,Entire home/apt,Entire home/apt,Real Bed,1,1125,67,4,1,2,1,110,0,125,4,Claude,"Honolulu, Hawaii, United States",99,28,"Honolulu, HI, United States",Oʻahu,Primary Urban Center,Oahu,United States,US,-157.8141,21.27482,17,47,77,352,9,9,10,10,10,9,90
New Renovated Private 1 bed/bath in Prime Location,Private room,Private room,Real Bed,1,6,3,1,1,1,1,150,0,0,1,Eric,"New York, New York, United States",0,1,"New York, NY, United States",Upper East Side,Upper East Side,New York,United States,US,-73.95149,40.78071,0,0,0,0,9,10,10,10,10,10,100
Porto Trindade Cozy Flat,Entire home/apt,Entire home/apt,Real Bed,2,1125,33,6,2,4,1,64,0,0,1,Feels Like Home,"Lisbon, Lisboa, Portugal",98,429,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,-8.60819,41.15627,15,33,48,297,9,9,9,9,9,9,90
North Shore Beach Bungalow Just Steps to the Sand!,Private room,Private room,Real Bed,1,1125,123,4,2,2,1,95,0,25,2,Tomas And Julia,"Waialua, Hawaii, United States",100,1,"Waialua, HI, United States",North Shore,North Shore Oahu,Oahu,United States,US,-158.12406,21.58216,22,46,60,146,10,10,10,10,10,9,95
"Kapalua Ridge 511-13. Spacious villa offering one-of-a kind ocean, coastal, island AND golf views!",Entire home/apt,Entire home/apt,Real Bed,5,90,5,6,2,2,3,380,0,257,2,Ridge Realty,"Kapalua, Hawaii, United States",100,29,"Lahaina, HI, United States",Westside,Lahaina,Maui,United States,US,-156.6585,21.00118,8,21,51,275,10,10,10,10,10,10,100
Ao Coliseu 3C ( central 2 bedroom apartment ),Entire home/apt,Entire home/apt,Real Bed,2,1125,71,6,2,2,1,75,0,20,4,Passos Manuel 236 AL,"Porto, Porto District, Portugal",100,7,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,-8.60387,41.14538,4,8,19,230,10,10,9,9,10,10,97
Spacious 3 BR 12ppl Beside MTR :),Entire home/apt,Entire home/apt,Real Bed,2,1125,9,12,3,6,2,1397,0,480,1,Rick,HK,100,6,"香港, Mongkok, Hong Kong",Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,114.17134,22.31326,8,24,51,322,10,9,10,10,10,10,96
House Of Hawaii Dreams,Entire home/apt,Entire home/apt,Real Bed,2,60,60,6,2,3,1,299,300,195,1,Hannah,"Hawaii, United States",100,2,"Honolulu, HI, United States",Kuliouou/Kalani Iki,East Honolulu,Oahu,United States,US,-157.75874,21.28212,6,24,35,258,10,10,10,10,10,10,98
旺角獨立房間,Private room,Private room,Real Bed,1,5,0,1,1,1,1,447,0,100,1,Victor,Hong Kong,0,1,"香港, 九龍, Hong Kong",Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,114.1705,22.31998,0,0,0,0,0,0,0,0,0,0,0
5 Room Villa in Oporto Center,Entire home/apt,Entire home/apt,Real Bed,2,1125,3,10,5,10,3,160,0,0,1,Cedilhas,"Porto, Porto District, Portugal",100,9,"Porto, Porto, Portugal",,Bonfim,Porto,Portugal,PT,-8.59597,41.15624,0,0,0,132,9,9,10,10,9,9,93
The Paddington Cottage | Sydney Eastern Suburbs,Entire home/apt,Entire home/apt,Real Bed,2,1125,21,3,3,0,1,350,1000,200,1,Bradley,"Sydney, New South Wales, Australia",100,4,"Paddington, NSW, Australia",Paddington,Woollahra,Sydney,Australia,AU,151.22243,-33.88325,0,0,0,0,10,10,10,10,10,9,98
Fabulous Beach Front Penthouse,Entire home/apt,Entire home/apt,Real Bed,3,28,12,8,3,4,2,200,300,25,9,Manuela,PT,100,1,"Mindelo, Porto, Portugal",,Mindelo,Porto,Portugal,PT,-8.73638,41.30637,30,60,90,324,10,10,10,10,10,10,100
THE ROOM WITH BALCONY in CIHANGIR + FREE WIFI,Private room,Private room,Real Bed,2,1125,0,1,0,1,1,237,0,0,1,Enes,TR,100,4,"Beyoğlu, İstanbul, Turkey",Cihangir,Beyoglu,Istanbul,Turkey,TR,28.98043,41.02979,11,11,11,11,0,0,0,0,0,0,0
High Floor-Ocean View! 2 Bed/2 Ba/1 Pkg WBT#2302,Entire home/apt,Entire home/apt,Real Bed,3,1125,9,6,2,4,2,551,0,329,1,Captain Cook Resorts,"Honolulu, Hawaii, United States",100,156,"Honolulu, HI, United States",Honolulu,Primary Urban Center,Oahu,United States,US,-157.8236,21.27477,4,16,27,179,10,10,10,10,10,9,98
Big and luminous apartment in Little Italy,Entire home/apt,Entire home/apt,Real Bed,2,1125,18,5,2,2,1,250,0,50,1,Marie,"Montreal, Quebec, Canada",100,1,"Montréal, Québec, Canada",Mile End,Rosemont-La Petite-Patrie,Montreal,Canada,CA,-73.6159,45.53344,0,0,0,0,10,9,10,10,10,10,97
近大学24小时安保豪华公寓长短租,Entire home/apt,Entire home/apt,Real Bed,180,1000,0,3,1,1,1,105,0,0,1,Wang,CA,0,1,"Montréal, Québec, Canada",Downtown Montreal,Ville-Marie,Montreal,Canada,CA,-73.57264,45.49594,30,60,90,365,0,0,0,0,0,0,0
Room in a historical apartment in Beyoglu.,Private room,Private room,Real Bed,3,1125,2,2,1,1,1,111,0,0,2,Ahmet,"Istanbul, İstanbul, Turkey",0,1,"Beyoğlu, İstanbul, Turkey",Beyoglu,Beyoglu,Istanbul,Turkey,TR,28.98141,41.03494,29,59,89,89,10,10,10,10,10,10,100
The Porto Concierge - Horus House,Entire home/apt,Entire home/apt,Real Bed,2,1125,30,4,2,3,1,50,0,20,1,Jose,PT,100,1,"Porto, Porto, Portugal",,Paranhos,Porto,Portugal,PT,-8.61001,41.1671,20,50,76,329,9,9,9,9,8,9,88
Chambre double- à deux pas du métro,Private room,Private room,Real Bed,1,3,3,2,1,1,2,23,0,0,1,Ève,"Montreal, Québec, Canada",0,1,"Montréal, Québec, Canada",Villeray-Saint-Michel-Parc-Extension,Villeray-Saint-Michel-Parc-Extension,Montreal,Canada,CA,-73.63168,45.54549,0,0,0,0,9,8,9,9,8,9,93
CL Ildefonso I Apartment,Entire home/apt,Entire home/apt,Real Bed,2,1125,39,4,1,1,1,75,1000,35,2,António,"Porto, Porto District, Portugal",100,6,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,-8.60232,41.1459,21,51,78,346,10,10,10,10,10,10,99
"Beautiful, Comfortable Apt. in Convenient Location",Entire home/apt,Entire home/apt,Real Bed,2,28,65,6,2,3,1,110,0,79,4,Jose,"New York, New York, United States",100,2,"Queens, NY, United States",Queens,Ozone Park,New York,United States,US,-73.85568,40.67488,5,6,22,39,10,10,10,10,9,10,96
A beach break AND a lake!,Entire home/apt,Entire home/apt,Real Bed,3,1125,4,4,2,1,1,300,200,75,1,Teri,"Narrabeen, New South Wales, Australia",100,1,"Narrabeen, NSW, Australia",,Warringah,Sydney,Australia,AU,151.29793,-33.71992,29,59,89,364,10,7,9,10,9,8,85
Waikiki Residents,Entire home/apt,Entire home/apt,Real Bed,7,1125,1,2,1,1,1,95,300,100,1,Lance,"Okere Falls, Bay Of Plenty, New Zealand",0,1,"Honolulu, HI, United States",Waikiki,Primary Urban Center,Oahu,United States,US,-157.82722,21.28223,8,9,9,9,0,0,0,0,0,0,0
Complete Kitchen Remodel in this 1bd/1ba garden view condo in South Kihei at the Kihei Akahi. D-208,Entire home/apt,Entire home/apt,Real Bed,5,90,2,2,1,1,1,239,0,200,2,Maui Condo,"Hawaii, United States",100,222,"KIHEI, HI, United States",Maui,Kihei-Makena,Maui,United States,US,-156.44543,20.71513,2,4,34,197,10,10,10,10,10,10,100
Spacious Sunlit 1 BR Apartment in Heart of Harlem,Entire home/apt,Entire home/apt,Real Bed,30,365,2,2,1,1,1,110,500,0,2,Jeff,"New York, New York, United States",100,1,"New York, NY, United States",Manhattan,Harlem,New York,United States,US,-73.94647,40.80355,21,21,47,229,10,9,10,10,10,10,100
Kona Tropical Bungalow,Entire home/apt,Entire home/apt,Real Bed,4,30,31,2,1,1,1,68,0,50,1,Bert,"Kailua-Kona, Hawaii, United States",100,2,"Kailua-Kona, HI, United States",Island of Hawaiʻi,North Kona,The Big Island,United States,US,-155.9655,19.60476,0,0,0,0,9,9,10,10,9,9,95
Taşdelen kardiyum sakin oda,Entire home/apt,Entire home/apt,Real Bed,1,30,0,1,1,1,1,69,0,0,1,Yucel,TR,0,2,"Çekmeköy, İstanbul, Turkey",,Cekmekoy,Istanbul,Turkey,TR,29.22225,41.03629,29,59,89,89,0,0,0,0,0,0,0
Clean and cosy bedroom,Private room,Private room,Real Bed,1,1125,0,2,1,1,1,84,0,0,1,Hakan,"Istanbul, İstanbul, Turkey",0,1,"Üsküdar, İstanbul, Turkey",Üsküdar,Uskudar,Istanbul,Turkey,TR,29.01822,41.02143,30,60,90,90,0,0,0,0,0,0,0
"Casa acolhedora, 2 minutos do rio douro",Entire home/apt,Entire home/apt,Real Bed,2,1125,79,5,2,2,1,31,0,15,4,Sandra,"Valbom, Porto, Portugal",100,1,"Valbom, Porto, Portugal",,"Gondomar (São Cosme), Valbom e Jovim",Porto,Portugal,PT,-8.56464,41.13593,21,43,67,281,10,10,10,10,9,10,95
Sunny loft-style apartment in Place-des-Arts !,Entire home/apt,Entire home/apt,Real Bed,1,7,5,2,1,1,1,301,3000,50,2,Montréal,"Paris, Île-de-France, France",0,1,"Montréal, Québec, Canada",Le Plateau,Le Plateau-Mont-Royal,Montreal,Canada,CA,-73.57067,45.51123,30,60,90,90,10,10,10,10,10,10,100
Luxury condo with free indoor parking,Entire home/apt,Entire home/apt,Real Bed,31,1125,19,4,0,1,1,94,0,63,1,Carlos,CA,100,1,"Montréal, Québec, Canada",Downtown Montreal,Le Sud-Ouest,Montreal,Canada,CA,-73.57601,45.48985,6,6,8,8,9,10,10,10,10,10,96
Big 4 Bedroom~,Entire home/apt,Entire home/apt,Real Bed,4,1120,32,7,4,5,2,200,300,80,1,Stay U-Nique,"Barcelona, Cataluña, Spain",97,98,"Barcelona, Catalunya, Spain",Sant Gervasi - Galvany,Sant Gervasi - Galvany,Barcelona,Spain,ES,2.14977,41.39483,10,10,14,283,10,10,10,10,9,9,94
Harbour Views from North Sydney High Street,Entire home/apt,Entire home/apt,Real Bed,2,1125,74,4,1,1,1,145,150,100,2,Stephen (Sydney Holiday Rentals),"New South Wales, Australia",98,8,"North Sydney, NSW, Australia",Neutral Bay,North Sydney,Sydney,Australia,AU,151.21634,-33.84424,2,13,26,179,10,10,10,10,10,10,96
*** Next To Place Des Arts ***,Entire home/apt,Entire home/apt,Real Bed,1,1124,16,4,1,1,1,250,250,75,2,Mike,"Montreal, Quebec, Canada",100,70,"Montréal, Québec, Canada",Chinatown,Ville-Marie,Montreal,Canada,CA,-73.56397,45.50504,15,33,57,265,10,10,10,9,10,9,94
East Village Renovated Apartment,Private room,Private room,Airbed,1,1125,4,1,1,1,1,60,0,0,1,Skip,"New York, New York, United States",0,1,"New York, NY, United States",East Village,East Village,New York,United States,US,-73.98365,40.73051,0,0,0,0,10,10,8,10,10,10,100
"Double sized room with king bed, perfect location",Private room,Private room,Real Bed,2,1125,3,2,1,1,1,63,0,0,1,Matt,"Sydney, New South Wales, Australia",0,1,"Alexandria, NSW, Australia",Alexandria,Sydney,Sydney,Australia,AU,151.19156,-33.89957,0,0,0,0,10,10,10,10,10,10,100
Hawaii - West Oahu - 3-Bedroom Home,Entire home/apt,Entire home/apt,Real Bed,2,40,122,6,3,3,2,168,0,225,6,Dulce,Hawaii,0,1,"Waianae, HI, United States",Oʻahu,Waianae,Oahu,United States,US,-158.16608,21.40539,0,0,0,33,10,10,10,10,9,10,97
"Downtown Penthouse, 2 Bedrooms 2 bathrooms",Entire home/apt,Entire home/apt,Real Bed,2,1125,40,4,2,2,2,83,150,65,3,Jeremy,"Montreal, Quebec, Canada",0,1,"Montréal, Québec, Canada",Downtown Montreal,Ville-Marie,Montreal,Canada,CA,-73.58038,45.49287,0,0,0,0,10,10,10,10,10,10,96
Peaceful single room next to Clovelly Village,Private room,Private room,Real Bed,2,1125,0,1,1,1,1,60,0,0,1,Gabriela,"Sydney, New South Wales, Australia",0,1,"Randwick, NSW, Australia",Randwick,Randwick,Sydney,Australia,AU,151.25427,-33.91163,0,0,0,0,0,0,0,0,0,0,0
PLAZA 5*,Entire home/apt,Entire home/apt,Real Bed,2,1125,45,4,2,2,1,77,0,20,2,Eliran,Portugal,88,1,"Vila Nova de Gaia, Porto, Portugal",,Mafamude e Vilar do Paraíso,Porto,Portugal,PT,-8.60941,41.11746,24,51,81,228,9,9,9,9,9,9,91
Chambre spacieuse dans rue calme du Plateau,Private room,Private room,Real Bed,2,1125,6,2,1,1,1,50,0,0,1,Virginie,"Montreal, Quebec, Canada",0,1,"Montréal, Québec, Canada",Le Plateau,Le Plateau-Mont-Royal,Montreal,Canada,CA,-73.57756,45.53345,0,0,0,0,10,10,10,10,10,10,100
"Bright, beautiful room for a comfortable stay",Private room,Private room,Real Bed,3,25,47,2,1,1,1,53,0,10,1,"Rossy,  Carmen And Juan","New York, New York, United States",100,8,"Bronx, NY, United States",The Bronx,University Heights,New York,United States,US,-73.91391,40.85487,15,31,35,35,10,9,10,10,9,9,95
Bright and Breezy Bondi Beach Pad,Entire home/apt,Entire home/apt,Real Bed,2,1125,40,4,1,2,1,141,150,125,2,Sarah,"Darlinghurst, New South Wales, Australia",100,1,"Bondi Beach, NSW, Australia",Bondi Beach,Waverley,Sydney,Australia,AU,151.27232,-33.88826,11,41,71,162,9,8,9,9,10,8,82
Entire MASSIVE apt. for 4 ppl 1 Block from Subway,Entire home/apt,Entire home/apt,Real Bed,3,60,24,4,1,2,1,197,500,25,2,Eva,"Rochester, New York, United States",0,1,"Queens, NY, United States",Queens,Forest Hills,New York,United States,US,-73.84944,40.72571,0,0,0,0,10,9,10,10,9,10,96
Double room in Poble sec,Private room,Private room,Real Bed,2,1125,42,2,1,1,1,25,89,10,1,Dino,"Barcelona, Catalonia, Spain",92,3,"Barcelona, Catalunya, Spain",El Poble-sec,el Poble Sec,Barcelona,Spain,ES,2.16187,41.37292,5,12,27,295,9,9,9,9,9,9,86
Spacious cozy apartment in Little Burgundy,Entire home/apt,Entire home/apt,Real Bed,2,14,74,3,1,1,1,90,300,60,2,Alfredo,"Montreal, Québec, Canada",100,1,"Montréal, Québec, Canada",Le Sud-Ouest,Le Sud-Ouest,Montreal,Canada,CA,-73.57727,45.483,25,53,65,65,10,10,10,10,10,10,99
Suíte na Barra-Jeunesse,Private room,Private room,Real Bed,1,1125,3,2,1,1,1,86,0,70,1,Cassiana,"Jacarepaguá, State of Rio de Janeiro, Brazil",83,1,"Jacarepagua, Rio de Janeiro, Brazil",Barra da Tijuca,Jacarepaguá,Rio De Janeiro,Brazil,BR,-43.38685995636604,-22.968553576373854,30,33,33,33,10,10,10,10,10,10,100
Habitación en Villa Olímpica,Private room,Private room,Real Bed,2,10,92,2,1,1,1,30,0,12,1,Inaki,"Barcelona, Catalonia, Spain",100,1,"Barcelona, Catalunya, Spain",Sant Martí,la Vila Olímpica del Poblenou,Barcelona,Spain,ES,2.1966,41.39356,6,15,21,67,10,10,10,10,10,9,98
"Fantastic Studio, Heart of Central",Entire home/apt,Entire home/apt,Real Bed,2,1125,147,2,0,1,1,848,1000,150,1,Krystal & Ryan,Hong Kong,98,5,"Hong Kong, Hong Kong Island, Hong Kong",Central & Western District,Central & Western,Hong Kong,Hong Kong,HK,114.15313,22.28091,16,46,76,351,10,10,10,10,10,10,94
Ala Moana Hotel 1616 Studio City/Ocean View - 1K,Entire home/apt,Entire home/apt,Real Bed,1,1125,2,2,0,1,1,316,0,125,2,Gaia Hawaii Vacation Rentals,"Honolulu, Hawaii, United States",100,30,"Honolulu, HI, United States",Honolulu,Primary Urban Center,Oahu,United States,US,-157.83967,21.29116,14,44,74,246,8,10,7,10,10,5,90
The Porto Concierge -  Lodeiro Country House,Entire home/apt,Entire home/apt,Real Bed,7,1125,10,12,5,7,4,300,0,40,1,Camilo,PT,100,1,"Porto, Porto, Portugal",,Aguiar de Sousa,Porto,Portugal,PT,-8.44398,41.1222,30,60,90,164,7,7,8,8,9,8,82
New York City  UWS Luxury Bldg - Private Room&Bath,Private room,Private room,Real Bed,28,1125,41,1,1,1,1,160,500,100,1,Marcela,"New York, New York, United States",100,2,"New York, NY, United States",Midtown,Hell's Kitchen,New York,United States,US,-73.99181,40.7709,0,0,5,123,10,10,10,10,10,9,96
The Porto Concierge - Happy Place,Entire home/apt,Entire home/apt,Real Bed,2,1125,56,4,1,3,1,50,0,15,2,Ana,PT,100,1,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,-8.62311,41.15408,5,30,60,335,8,8,9,9,9,9,81
Grand appartement sur le plateau pour famille,Entire home/apt,Entire home/apt,Real Bed,5,10,1,4,3,3,1,170,0,0,1,Marc,CA,0,1,"Montréal, Québec, Canada",Le Plateau,Le Plateau-Mont-Royal,Montreal,Canada,CA,-73.58929,45.53065,0,0,0,0,10,10,10,10,10,10,100
Modern Studio in Classic Upper East Side,Entire home/apt,Entire home/apt,Real Bed,14,19,0,1,0,1,1,115,0,0,1,Nathan,"San Francisco, California, United States",0,1,"New York, NY, United States",Upper East Side,Upper East Side,New York,United States,US,-73.94789,40.77286,0,0,0,0,0,0,0,0,0,0,0
Oporto Center Spot,Entire home/apt,Entire home/apt,Real Bed,2,1125,87,4,1,1,1,60,0,10,2,Dulce,PT,100,3,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,-8.60732,41.14557,3,9,15,51,10,10,10,10,10,10,97
3 BDR APT AND ROOFTOP ONE TRAIN STOP TO MANHATAN,Entire home/apt,Entire home/apt,Real Bed,2,1125,100,6,3,3,1,315,0,30,6,Ana Y Victor,"Danbury, Connecticut, United States",100,4,"Brooklyn, NY, United States",Williamsburg,Williamsburg,New York,United States,US,-73.96311,40.71047,3,10,26,236,10,10,10,10,10,10,96
Bedroom in a Cozy Apartment,Private room,Private room,Real Bed,2,60,20,2,1,1,1,51,0,0,1,Tobi,"New York, New York, United States",100,1,"New York, NY, United States",Harlem,Harlem,New York,United States,US,-73.93563,40.81711,1,1,16,16,10,8,9,10,9,9,91
Luxury Retreat On Maunalani Heights Honolulu,Entire home/apt,Entire home/apt,Real Bed,1,30,102,4,0,2,1,180,0,0,1,Michael,"Honolulu, Hawaii, United States",100,2,"Honolulu, HI, United States",South Shore,Primary Urban Center,Oahu,United States,US,-157.78795,21.29712,0,9,28,296,10,9,10,10,10,10,98
Condo familiale 4 chambres près du centre-ville !,Entire home/apt,Entire home/apt,Real Bed,7,21,14,6,4,4,1,170,0,0,1,Pascal,"Montreal, Quebec, Canada",0,1,"Montréal, Québec, Canada",Gay Village,Ville-Marie,Montreal,Canada,CA,-73.54923,45.52764,23,53,83,83,10,10,10,10,10,10,100
Air conditioned townhouse with furnished room!!,Private room,Private room,Real Bed,1,31,91,2,1,1,1,85,0,25,1,James,"Honolulu, Hawaii, United States",100,3,"Kapolei, HI, United States",Makakilo/Kapolei/Honokai Hale,Ewa,Oahu,United States,US,-158.07366,21.32452,29,51,81,356,10,10,10,10,10,10,100
Sublet: $490/Wk,Private room,Private room,Real Bed,1,1125,1,1,1,1,1,80,0,0,1,Amarie2131,"New York, New York, United States",0,1,"New York, NY, United States",Lower East Side,Lower East Side,New York,United States,US,-73.98986,40.7193,0,0,0,0,6,2,6,6,10,6,20
Cute North Shore Studio,Entire home/apt,Entire home/apt,Real Bed,3,31,50,2,0,1,1,100,0,80,1,Jack,"Princeville, Hawaii, United States",100,1,"Princeville, HI, United States",Kauaʻi,North Shore Kauai,Kauai,United States,US,-159.47602,22.22189,2,6,11,29,9,10,10,10,10,9,92
Hale Nui Ohana,Entire home/apt,Entire home/apt,Real Bed,5,1125,2,14,4,4,4,343,0,424,8,Wayne B.,"Kailua-Kona, Hawaii, United States",100,5,"Kailua-Kona, HI, United States",Kailua/Kona,North Kona,The Big Island,United States,US,-155.9684,19.61198,29,59,89,352,9,9,7,9,10,9,80
Cozy studio in front of Parc La Fonteine,Entire home/apt,Entire home/apt,Real Bed,1,14,18,3,1,2,1,40,0,12,1,Rafael,"Montreal, Quebec, Canada",0,3,"Montréal, Québec, Canada",Le Plateau,Le Plateau-Mont-Royal,Montreal,Canada,CA,-73.57349,45.52813,0,0,0,0,9,8,10,10,9,10,93
日本人がﾎｽﾄする香港西貢のAirbnb,Private room,Private room,Real Bed,1,1125,6,1,2,2,1,353,0,50,1,Kaz,Hong Kong,100,1,"香港, New Territories, Hong Kong",,Sai Kung,Hong Kong,Hong Kong,HK,114.28777,22.39392,14,14,34,240,10,9,10,10,9,10,100
Cosy Terrace Studio,Entire home/apt,Entire home/apt,Real Bed,1,365,55,2,0,1,1,35,150,15,1,Miguel,"Porto, Porto District, Portugal",100,1,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,-8.61902,41.16112,30,60,90,176,10,10,10,10,9,9,93
Newly renovated home,Private room,Private room,Real Bed,4,30,7,2,1,2,1,75,0,0,1,May,AU,100,2,"Hurstville Grove, NSW, Australia",Hurstville,City Of Kogarah,Sydney,Australia,AU,151.09262,-33.97391,4,26,56,147,10,10,10,10,8,9,97
Club Cliff for a great beach vacation.,Entire home/apt,Entire home/apt,Real Bed,5,28,2,6,3,3,2,600,0,200,1,Maryanne,"Sydney, New South Wales, Australia",0,1,"Manly, NSW, Australia",Manly,Manly,Sydney,Australia,AU,151.28998,-33.80067,27,57,87,88,10,8,10,10,10,10,100
Cebu Hotel Deluxe Single Room #3 Ensuite Bathroom,Private room,Private room,Real Bed,1,31,34,1,0,1,1,196,0,39,1,Cebu,"Kowloon, Hong Kong",100,15,"Hong Kong, Kowloon, Hong Kong",Tsim Sha Tsui,Yau Tsim Mong,Hong Kong,Hong Kong,HK,114.17237,22.29738,30,60,90,143,9,8,9,9,9,9,85
Liiiving in Porto | Foz Terrace Studio,Entire home/apt,Entire home/apt,Real Bed,3,1125,4,3,1,2,1,100,150,30,2,Liiiving,"Porto, Porto District, Portugal",100,82,"Porto, Porto, Portugal",,"Aldoar, Foz do Douro e Nevogilde",Porto,Portugal,PT,-8.67971,41.16195,23,53,83,348,10,10,9,10,10,9,95
JFK 10 & LGA 15 MINUTES AWAY A/C PRIVATE BEDROOM B,Private room,Private room,Real Bed,1,7,106,1,1,1,1,50,0,0,1,Gurpreet  Singh,"New York, New York, United States",88,8,"Queens, NY, United States",Richmond Hill,Richmond Hill,New York,United States,US,-73.8252,40.69502,0,0,0,0,10,10,10,10,9,10,97
450sf entire place in Kennedy Town,Entire home/apt,Entire home/apt,Real Bed,3,365,39,2,1,1,1,400,0,0,1,Mandy,"Hong Kong Island, Hong Kong",100,2,"Hong Kong , Hong Kong Island, Hong Kong",Central & Western District,Central & Western,Hong Kong,Hong Kong,HK,114.13009,22.28313,6,16,40,315,10,9,10,10,10,9,94
Single private room(Gray),Private room,Private room,Real Bed,10,1124,20,1,1,1,1,63,0,0,1,Ali,"Istanbul, Istanbul, Turkey",100,13,"Istanbul, Istanbul Province, Turkey",Karaköy,Beyoglu,Istanbul,Turkey,TR,28.97604,41.02976,0,0,0,262,10,9,10,10,10,9,95
Cozy and convenient home near Time Square HK,Entire home/apt,Entire home/apt,Real Bed,2,1125,47,8,3,6,1,1499,1000,450,6,Jeremy,Hong Kong,100,3,"Hong Kong, Hong Kong Island, Hong Kong",Wan Chai District,Wan Chai,Hong Kong,Hong Kong,HK,114.18369,22.27966,6,19,49,139,9,9,9,9,10,9,89
